To,Location
CLOCK_27[0],PIN_D12
CLOCK_27[1],PIN_E12
CLOCK_24[0],PIN_B12
CLOCK_24[1],PIN_A12
CLOCK_50,PIN_L1
EXT_CLOCK,PIN_M21
KEY[0],PIN_R22
KEY[1],PIN_R21
KEY[2],PIN_T22
KEY[3],PIN_T21
SW[0],PIN_L22
SW[1],PIN_L21
SW[2],PIN_M22
SW[3],PIN_V12
SW[4],PIN_W12
SW[5],PIN_U12
SW[6],PIN_U11
SW[7],PIN_M2
SW[8],PIN_M1
SW[9],PIN_L2
LEDR[0],PIN_R20
LEDR[1],PIN_R19
LEDR[2],PIN_U19
LEDR[3],PIN_Y19
LEDR[4],PIN_T18
LEDR[5],PIN_V19
LEDR[6],PIN_Y18
LEDR[7],PIN_U18
LEDR[8],PIN_R18
LEDR[9],PIN_R17
LEDG[0],PIN_U22
LEDG[1],PIN_U21
LEDG[2],PIN_V22
LEDG[3],PIN_V21
LEDG[4],PIN_W22
LEDG[5],PIN_W21
LEDG[6],PIN_Y22
LEDG[7],PIN_Y21
HEX0[0],PIN_J2
HEX0[1],PIN_J1
HEX0[2],PIN_H2
HEX0[3],PIN_H1
HEX0[4],PIN_F2
HEX0[5],PIN_F1
HEX0[6],PIN_E2
HEX1[0],PIN_E1
HEX1[1],PIN_H6
HEX1[2],PIN_H5
HEX1[3],PIN_H4
HEX1[4],PIN_G3
HEX1[5],PIN_D2
HEX1[6],PIN_D1
HEX2[0],PIN_G5
HEX2[1],PIN_G6
HEX2[2],PIN_C2
HEX2[3],PIN_C1
HEX2[4],PIN_E3
HEX2[5],PIN_E4
HEX2[6],PIN_D3
HEX3[0],PIN_F4
HEX3[1],PIN_D5
HEX3[2],PIN_D6
HEX3[3],PIN_J4
HEX3[4],PIN_L8
HEX3[5],PIN_F3
HEX3[6],PIN_D4
GPI_0[0],PIN_A13
GPI_0[1],PIN_B13
GPI_0[2],PIN_A14
GPI_0[3],PIN_B14
GPI_0[4],PIN_A15
GPI_0[5],PIN_B15
GPI_0[6],PIN_A16
GPI_0[7],PIN_B16
GPI_0[8],PIN_A17
GPI_0[9],PIN_B17
GPI_0[10],PIN_A18
GPI_0[11],PIN_B18
GPI_0[12],PIN_A19
GPI_0[13],PIN_B19
GPI_0[14],PIN_A20
GPI_0[15],PIN_B20
GPI_0[16],PIN_C21
GPI_0[17],PIN_C22
GPI_0[18],PIN_D21
GPI_0[19],PIN_D22
GPI_0[20],PIN_E21
GPI_0[21],PIN_E22
GPI_0[22],PIN_F21
GPI_0[23],PIN_F22
GPI_0[24],PIN_G21
GPI_0[25],PIN_G22
GPI_0[26],PIN_J21
GPI_0[27],PIN_J22
GPI_0[28],PIN_K21
GPI_0[29],PIN_K22
GPI_0[30],PIN_J19
GPI_0[31],PIN_J20
GPI_0[32],PIN_J18
GPI_0[33],PIN_K20
GPI_0[34],PIN_L19
GPI_0[35],PIN_L18
GPI_1[0],PIN_H12
GPI_1[1],PIN_H13
GPI_1[2],PIN_H14
GPI_1[3],PIN_G15
GPI_1[4],PIN_E14
GPI_1[5],PIN_E15
GPI_1[6],PIN_F15
GPI_1[7],PIN_G16
GPI_1[8],PIN_F12
GPI_1[9],PIN_F13
GPI_1[10],PIN_C14
GPI_1[11],PIN_D14
GPI_1[12],PIN_D15
GPI_1[13],PIN_D16
GPI_1[14],PIN_C17
GPI_1[15],PIN_C18
GPI_1[16],PIN_C19
GPI_1[17],PIN_C20
GPI_1[18],PIN_D19
GPI_1[19],PIN_D20
GPI_1[20],PIN_E20
GPI_1[21],PIN_F20
GPI_1[22],PIN_E19
GPI_1[23],PIN_E18
GPI_1[24],PIN_G20
GPI_1[25],PIN_G18
GPI_1[26],PIN_G17
